행정동명,병원 개수
신사동,677
서초동,592
역삼동,549
논현동,453
상계동,368
봉천동,363
화곡동,333
신림동,321
대치동,254
목동,253
청담동,249
미아동,241
신정동,230
방배동,225
구로동,223
잠실동,218
면목동,201
천호동,200
사당동,195
반포동,187
삼성동,171
성내동,169
마곡동,161
자양동,158
가락동,154
잠원동,154
여의도동,153
응암동,152
상도동,152
신길동,148
시흥동,146
수유동,141
창동,140
문정동,139
장안동,135
명일동,135
중계동,126
중곡동,125
신당동,124
도곡동,124
독산동,119
등촌동,117
신월동,114
방이동,114
길동,113
신천동,109
공릉동,108
대조동,106
불광동,106
구의동,105
홍제동,100
개봉동,97
답십리동,96
대림동,95
방학동,95
제기동,93
도화동,85
방화동,85
송파동,85
쌍문동,85
암사동,84
개포동,84
망우동,83
석촌동,82
양재동,81
행당동,81
갈현동,78
내발산동,78
가산동,76
동교동,72
상봉동,72
월계동,71
번동,71
전농동,68
남가좌동,67
성수동2가,67
고척동,66
신대방동,66
하월곡동,66
서교동,66
정릉동,66
망원동,64
신내동,64
대방동,62
노고산동,62
거여동,62
진관동,60
중화동,60
묵동,60
상암동,58
오류동,57
아현동,57
가양동,57
화양동,56
공덕동,55
북가좌동,54
마천동,54
역촌동,53
길음동,52
청량리동,52
신도림동,51
이문동,51
용두동,50
삼전동,49
흑석동,49
창신동,48
창천동,47
종암동,47
성수동1가,45
하왕십리동,45
종로5가,44
염창동,43
일원동,43
대흥동,43
풍납동,42
장위동,41
한강로2가,39
도봉동,39
연희동,39
수서동,38
휘경동,37
노량진동,37
옥수동,37
문래동3가,37
이촌동,36
오금동,36
석관동,36
고덕동,35
군자동,35
홍은동,35
당산동6가,33
합정동,32
장지동,32
녹번동,31
성산동,31
강일동,30
도선동,30
남현동,29
영등포동3가,29
구산동,28
한남동,28
갈월동,27
당산동5가,27
영등포동4가,27
숭인동,27
금호동4가,26
동소문동6가,25
둔촌동,25
우면동,25
서소문동,24
황학동,24
종로6가,24
상도1동,24
염리동,23
금호동3가,23
용답동,23
을지로2가,23
하계동,23
마장동,22
북아현동,22
남대문로5가,21
당산동3가,21
광장동,21
증산동,20
공항동,20
능동,20
신문로1가,20
이태원동,20
신공덕동,19
중림동,19
을지로6가,19
동선동4가,19
영등포동6가,19
세곡동,18
돈암동,18
충무로2가,18
한강로3가,18
종로3가,18
당산동4가,17
무교동,17
명동2가,17
종로2가,17
금호동1가,17
양평동4가,17
충무로1가,16
남창동,16
신수동,16
보광동,16
을지로4가,16
문래동6가,15
종로1가,15
청진동,15
대현동,14
신설동,14
동선동1가,14
상일동,14
영등포동,14
도림동,14
후암동,14
중동,14
영등포동8가,13
창전동,13
회기동,13
충정로2가,13
회현동1가,13
가리봉동,13
영등포동5가,13
당주동,13
안암동5가,12
동소문동2가,12
금호동2가,11
압구정동,11
상가1동,11
태평로2가,11
연남동,11
관철동,11
종로4가,11
동소문동1가,10
혜화동,10
내곡동,10
성북동1가,10
용문동,10
영천동,10
원효로2가,10
